4635722127599110|04|2035|564
4635722958127635|04|2034|618
4635723237904703|01|2026|516
4635728850293516|01|2029|591
4635724842216988|01|2028|360
4635727352125978|01|2034|335
4635728876649667|09|2029|861
4635728669251317|02|2032|304
4635727175933160|04|2033|428
4635720962407332|05|2029|532
4635728514617597|05|2028|162
4635723855088300|12|2029|612
4635726447294583|01|2026|800
4635724771536067|08|2034|720
4635721485706424|05|2028|178
4635726732243675|04|2026|567
4635723810598831|06|2029|064
4635729923685340|06|2026|607
4635720219438668|12|2034|195
4635727646697535|10|2031|512
4635720167245552|05|2027|342
4635727540035600|08|2027|719
4635721472656632|08|2032|793
4635721775785831|11|2027|769
4635722627705670|10|2027|630
4635722093500233|05|2029|697
4635725011800569|08|2028|162
4635720425768247|04|2027|520
4635724472490440|03|2027|808
4635724417663382|08|2033|318
4635720424434189|07|2033|715
4635725391502439|11|2033|612
4635726414278007|10|2032|539
4635728187890190|07|2030|334
4635726188214154|10|2033|070
4635722803429269|02|2035|210
4635722471675284|01|2031|152
4635727311383601|08|2030|423
4635721895147490|05|2027|798
4635727483340793|01|2026|968
4635727658355212|10|2033|592
4635722345431708|01|2026|545
4635723339725592|03|2033|095
4635729482700035|02|2029|067
4635722634876118|12|2026|385
4635724485265631|02|2027|846
4635727180870613|01|2030|891
4635723253856134|06|2030|620
4635729766410376|09|2026|168
4635724063197677|07|2030|689
4635725822394885|07|2029|025
4635724675299911|03|2033|707
4635725996608920|10|2035|165
4635727062087740|04|2029|831
4635727641328094|02|2027|414
4635720528654930|07|2031|632
4635723756984706|06|2026|718
4635728226448034|11|2026|207
4635721384539769|12|2035|115
4635728556627694|09|2035|651
4635722359286212|05|2031|446
4635728489663733|02|2034|093
4635724392603858|04|2032|657
4635720180780320|10|2027|177
4635725107533025|02|2028|090
4635721147413799|11|2026|454
4635728064441265|05|2030|619
4635720498823820|05|2028|135
4635723439188154|09|2032|158
4635723427831971|04|2029|098
4635721819025962|11|2028|426
4635723912907211|09|2027|955
4635723534029162|05|2032|492
4635723572135004|01|2029|028
4635721079847527|12|2031|311
4635722610748521|02|2030|644
4635722395326386|12|2026|572
4635722665940510|08|2031|713
4635729125005917|03|2035|368
4635720368326045|05|2035|408
4635729443590293|01|2029|696
4635722226351314|01|2027|100
4635727470189773|04|2033|024
4635729682654131|04|2030|993
4635727409059030|11|2033|789
4635723598588962|02|2030|158
4635728274807800|11|2034|925
4635720682163066|06|2035|778
4635721508285042|02|2030|886
4635728472831453|08|2035|180
4635729894340842|06|2026|855
4635720634411530|10|2034|089
4635726822022146|12|2030|372
4635729859556457|03|2029|101
4635726631327777|08|2035|378
4635729559161186|11|2034|341
4635729630263084|11|2030|521
4635725059155546|03|2035|469
4635728363441362|06|2027|156
4635725152448632|09|2034|606
